what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1318763113923
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763114022
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763137446
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1318763141951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318763145185
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763147075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1318763148799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763148828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318763149289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763150531
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763186602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763332719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763334129
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1318763337030
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318763341976
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1318763342408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318763342466
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1318763343367
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1318763346142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763348847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763350730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763352647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763479064
activated,editor,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.editor",1318763481405
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763483357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763494342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763576200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763612568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763628181
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763646426
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763648538
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763653314
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763670623
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1318763676136
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1318763678610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318763679576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763682046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763687322
activated,view,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui.views.MakeView",1318763687406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763690189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763760743
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763760860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763789017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763789209
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763789383
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763789564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763789744
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763790152
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763790366
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318763790790
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318763791099
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318763791288
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318763792005
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763797834
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763798025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763798188
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763798362
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763798608
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318763798813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763815230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763828452
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763835915
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1318763838958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1318763839146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763840542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763846066
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1318763852010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763870181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763873338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763873830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763874211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763883549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763884158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318763994791
